main_category,sub_category,raw_product_name,cleaned_product_name,product_url,brand,product_img_link
Face,Contour,Match Stix Matte Contour Skinstick,Match Stix Matte Contour Skinstick,https://www.sephora.sg/products/fenty-beauty-match-stix-matte-contour-skinstick/v/default,Fenty Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_26130_Fenty_MatchStixMatteSkinstickAmber_WEB_4f8f3445fe1e6bebc41debc04edbb0f8fc1a2cdf_1523778026.png
Face,Contour,Hollywood Contour Wand,Hollywood Contour Wand,https://www.sephora.sg/products/charlotte-tilbury-hollywood-contour-wand/v/default,Charlotte Tilbury,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_5060332327843-Charlotte_20Tilbury-Hollywood_20Contour_20Wand-Light_20Medium_e592d42591768f06e25cbef6f414c77fb07200fd_1570523797.png
Face,Contour,Tinted Blur Sculpt Stick,Tinted Blur Sculpt Stick,https://www.sephora.sg/products/nudestix-tinted-blur-sculpt-stick/v/default,Nudestix,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_839174008044-NUDESTIX-Tinted-Blur-Sculpt-Stick-Nude-Neutral-Light_1c7db9b03b92cf78779c69c392ba8d2635eda472_1660933452.png
Face,Contour,Magic Touch Concealer,Magic Touch Concealer,https://www.sephora.sg/products/anastasia-magic-touch-concealer/v/default,Anastasia Beverly Hills,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_689304101219-Anastasia-Beverly-Hills-Magic-Touch-Concealer-2_c7bf92bcbc69d826086f25ba121410af9c5833a7_1625056957.png
Face,Contour,Crème Contour & Powder Bronzer Duo,Crème Contour and Powder Bronzer Duo,https://www.sephora.sg/products/patrick-ta-creme-contour-and-powder-bronzer-duo/v/default,Patrick Ta,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_843628140303-PATRICK_20TA-Creme_20Contour_20_20Powder_20Bronzer_20Duo-Shes_20Sta_34d1ddfb6276e5ffd3a9639a76f2947ac4834651_1634483690.png
Face,Contour,Pillow Talk Beauty Light Wand,Pillow Talk Beauty Light Wand,https://www.sephora.sg/products/charlotte-tilbury-pillow-talk-beauty-light-wand/v/default,Charlotte Tilbury,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_5060542729420-Charlotte-Tilbury-Pillow-Talk-Beauty-Light-Wand-Medium-Deep_612a749c59923d0a52fa191fff4e0f00a6c65050_1647511435.png
Face,Contour,Ultra HD Stick Foundation,Ultra HD Stick Foundation,https://www.sephora.sg/products/make-up-for-ever-ultra-hd-stick-foundation/v/default,Make Up For Ever,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_MUFE_INTESNSECOVERAGESTICK_WEB_74de3d7ac1572d3a18a12a2697a863d5ff6df430_1523777903.png
Face,Contour,Made For Shade Sculpting Bronzer Trio,Made For Shade Sculpting Bronzer Trio,https://www.sephora.sg/products/one-size-made-for-shade-sculpting-bronzer-trio/v/default,One/Size,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_810041812384-One-Size-Made-For-Shade-Sculpting-Bronzer-Trio-Fair_6fa464eedc3ba9283d4f1ce7cf62dfab7af81556_1657895540.png
Face,Contour,Sun Stalk'r Instant Warmth Bronzer,Sun Stalkr Instant Warmth Bronzer,https://www.sephora.sg/products/fenty-beauty-sun-stalkr-instant-warmth-bronzer/v/default,Fenty Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_207316-Fenty-Beauty-Sun-Stalkr-Instant-Warmth-Bronzer-Inda-Sun_6c09159421f653ab12af2c3652a70f75cfe1867b_1554280410.png
Face,Contour,The Cali Contour Palette,The Cali Contour Palette,https://www.sephora.sg/products/smashbox-the-cali-contour-palette/v/default,Smashbox,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Open_35686_20Smashbox_20The_20Cali_20Contour_20Palette_20Default_f79953670f94d82f8e14580306512f6bbcf1905d_1524707137.png
Face,Contour,Nudies Glow All Over Face Color Bronze & Glow,Nudies Glow All Over Face Color Bronze and Glow,https://www.sephora.sg/products/nudestix-nudies-all-over-face-color-bronze-plus-glow/v/default,Nudestix,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_839174011907-Nudestix-Nudies-Glow-All-Over-Face-Color-Bronze-and-Glow-Bubbly-Beb_2622788a35f14be9de93602885cfb75aec126238_1591336811.png
Face,Contour,Buriti Bronzer,Buriti Bronzer,https://www.sephora.sg/products/rms-beauty-buriti-bronzer/v/default,RMS Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_816248020362-RMS-Beauty-Bronzer-Buriti_cd0aa544824b6e7348a86efe3b36f7799cf94ac9_1618414534.png
Face,Contour,Tantour Contour & Bronzer Cream,Tantour Contour and Bronzer Cream,https://www.sephora.sg/products/huda-beauty-tantour-contour-and-bronzer-cream/v/default,Huda Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_207635-Huda-Beauty-Tantour-Contour-_26-Bronzer-Cream-Fair_aafa7fc983e445b57d46d1ac13bb62671357785b_1557902925.png
Face,Contour,Contour Sculpting Powder,Contour Sculpting Powder,https://www.sephora.sg/products/natasha-denona-contour-sculpting-powder/v/default,Natasha Denona,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_29661_NatashaDenona_ContourSculptingPowder_01Light_WEB_2937c3ec5f2c3e633cd5f36cedd21dd0188368da_1523778374.png
Face,Contour,The Original Contour Kit,The Original Contour Kit,https://www.sephora.sg/products/anastasia-countour-kit/v/default,Anastasia Beverly Hills,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_10435_AnastasiaBeverlyHills_TheOriginalContourKit_LighttoMedium_WEB_84f75a03043b95c805b132af98597f5fda545bcd_1523776984.png
Face,Contour,Artist Face Colors Pressed Powder,Artist Face Colors Pressed Powder,https://www.sephora.sg/products/make-up-for-ever-artist-face-colors/v/default,Make Up For Ever,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_28652_MakeUpForEver_WEB_91e88ce6158c7b682437713c9584bd349ee219e9_1523778285.png
Face,Contour,ModCon Long-Wear Hydrating Liquid-Gel Contour,ModCon Long-Wear Hydrating Liquid-Gel Contour,https://www.sephora.sg/products/kvd-beauty-modcon-long-wear-hydrating-liquid-gel-contour/v/default,KVD Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840026653657-Kvd-ModCon-Long-Wear-Hydrating-Liquid-Gel-Contour-Fair-Cool_34f8aa54b9a62c80e6d12c6682f7cadf276062e4_1632734586.png
Face,Contour,Take Control Contour Stick,Take Control Contour Stick,https://www.sephora.sg/products/natasha-moor-take-control-contour-stick/v/default,Natasha Moor,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_4897101870467-Natasha-Moor-Take-Control-Contour-Stick-Contour_a3ae00ba5346316ec02eac98097ab74722142ef1_1571647757.png
Face,Contour,Soleil Contouring Compact,Soleil Contouring Compact,https://www.sephora.sg/products/tom-ford-beauty-soleil-contouring-compact/v/default,Tom Ford Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_207988-Tom-Ford-Soleil-Contouring-Compact-Bask_125163e80f1358497dd24877b9148b4f9dc2f727_1556012906.png
Face,Contour,Shade + Light Face Contour Refillable Palette,Shade + Light Face Contour Refillable Palette,https://www.sephora.sg/products/kvd-beauty-shade-plus-light-face-contour-refillable-palette/v/default,KVD Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_31862_KatVonDBeauty_WEB_74f84e739efd2cd7f89723f95cff2c4330c1e0ee_1523778739.png
Face,Contour,Compact-Expert Dual Powder,Compact-Expert Dual Powder,https://www.sephora.sg/products/by-terry-compact-expert-dual-powder/v/default,By Terry,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_29147_ByTerry_CompactexpertDualPowder_4BeigeNude_WEB_1e3dcf7ddabacd07aa832b4aa4691f89f2d25f7d_1523778322.png
Face,Contour,Shade & Illuminate Face Palette,Shade and Illuminate Face Palette,https://www.sephora.sg/products/tom-ford-beauty-shade-and-illuminate-face-palette/v/default,Tom Ford Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_34629_TomFord_WEB_66ea1bd0e5594f8e06907647affd110ef43024d7_1523780273.png
Face,Contour,Sun Stalk'R Face + Eye Bronzer & Highlighter Palette (Limited Edition),Sun StalkR Face + Eye Bronzer and Highlighter Palette (Limited Edition),https://www.sephora.sg/products/fenty-beauty-sun-stalkr-face-plus-eye-bronzer-and-highlighter-palette-limited-edition/v/default,Fenty Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840026661096-Fenty-Beauty-Sun-StalkR-Face-Eye-Bronzer-Highlighter-Palette-Limite_a7fa4c0a45951723e86fda1245c789a1e1de6626_1655093027.png
Face,Contour,Match Stix Glow Skinstick,Match Stix Glow Skinstick,https://www.sephora.sg/products/fenty-beauty-match-stix-glow-skinstick/v/default,Fenty Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840026645607-Fenty-Match-Stix-Glow-Skinstick-Purrrl_85ce71fc246bcd48a8c46f6938fdf14b71612df8_1585128216.png
Face,Contour,Fouroscope Air Goddess Cheek Palette (Limited Edition),Fouroscope Air Goddess Cheek Palette (Limited Edition),https://www.sephora.sg/products/benefit-cosmetics-fouroscope-air-goddess-cheek-palette-limited-edition/v/default,Benefit Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_602004129413-Benefit-Cosmetics-Fouroscope-Air-Goddess-Cheek-Palette-Limited-Edit_679f1e122f86cd57721878ef1f005fb1fea4175a_1619798924.png
Face,Contour,Fouroscope Fire Queen Cheek Palette (Limited Edition),Fouroscope Fire Queen Cheek Palette (Limited Edition),https://www.sephora.sg/products/benefit-cosmetics-fouroscope-fire-queen-cheek-palette-limited-edition/v/default,Benefit Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_602004129406-Benefit-Cosmetics-Fouroscope-Fire-Queen-Cheek-Palette-Limited-Editi_f84813f3636421ae00dd35ef26dcade36f7a9614_1619798922.png
Face,Contour,Color & Sculpt Stick,Color and Sculpt Stick,https://www.sephora.sg/products/sephora-collection-color-and-sculpt-stick/v/default,Sephora Collection,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_193410_20Sephora_20Collection_20Color_20and_20Sculpt_20Stick_2001_20Clair_20Ligh_d9f9b3bda7ebf65188dcc3682ba07ab08a43bf0c_1550567357.png
Face,Contour,Match Stix Matte Contour Skinstick Mini,Match Stix Matte Contour Skinstick Mini,https://www.sephora.sg/products/fenty-beauty-match-stix-matte-contour-skinstick-mini/v/default,Fenty Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840026660440-Fenty-Beauty-Match-Stix-Matte-Contour-Skinstick-Mini-Espresso_ed42d559d762534b8b9b8ffe859085f38569c182_1650890486.png
Face,Face Primer,Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,https://www.sephora.sg/products/supergoop-unseen-sunscreen-broad-spectrum-sunscreen-spf-40-pa-plus-plus-plus/v/default,Supergoop!,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_816218022976-Supergoop-Unseen-Sunscreen-Broad-Spectrum-Sunscreen-SPF-40-PA-50ml_c17dc4aa978d4fd7889a6c2be09dd5178a6fea63_1618646380.png
Face,Face Primer,Vitamin Enriched Face Base - Moisturizer and Primer,Vitamin Enriched Face Base - Moisturizer and Primer,https://www.sephora.sg/products/bobbi-brown-vitamin-enriched-face-base-moisturizer-and-primer/v/default,Bobbi Brown,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_716170027456-BOBBI-BROWN-Vitamin-Enriched-Face-Base-Moisturizer-and-Prime_9609f47f0381334f5d569384fc541f4f952ce530_1664026410.png
Face,Face Primer,Always An Optimist Pore Diffusing Primer,Always An Optimist Pore Diffusing Primer,https://www.sephora.sg/products/rare-beauty-always-an-optimist-pore-diffusing-primer/v/default,Rare Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840122902550-Rare-Beauty-Always-An-Optimist-Pore-Diffusing-Primer-28ml_4000c2291694395dcfd7ad96888ddd8fb2e5935e_1631874970.png
Face,Face Primer,Beauty Amplifier Smoothing Primer,Beauty Amplifier Smoothing Primer,https://www.sephora.sg/products/sephora-collection-beauty-amplifier-smoothing-primer/v/default,Sephora Collection,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_31700_SephoraCollection_BeautyAmplifierSmoothingPrimer_WEB_2_d3927d8d044d49d553dd82cb3a57b5ef9041e8f9_1523778542.png
Face,Face Primer,Pro Filt'r Hydrating Primer,Pro Filtr Hydrating Primer,https://www.sephora.sg/products/fenty-beauty-pro-filtr-hydrating-primer/v/default,Fenty Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_810763036365-Fenty-Beauty-Pro-Filtr-Hydrating-Primer-32ml_27183e26113d11747d03c41dc3dca97ea079af15_1564990160.png
Face,Face Primer,Always An Optimist Illuminating Primer,Always An Optimist Illuminating Primer,https://www.sephora.sg/products/rare-beauty-always-an-optimist-illuminating-primer/v/default,Rare Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840122901430-Rare-Beauty-Always-An-Optimist-Illuminating-Primer-28ml_cf8a4ff12d40e626a201b2d7518b13fa3dcbaf5e_1623398199.png
Face,Face Primer,The POREfessional Face Primer,The POREfessional Face Primer,https://www.sephora.sg/products/benefit-cosmetics-the-porefessional-face-primer/v/default,Benefit Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_7769_20Benefit_20Cosmetics_20The_20POREfessional_20Face_20Primer_2044ml_c1aa566748539423d8696d20cae72174ba3e5077_1535704746.png
